Name;Analys
Полевой переулок;"полевой 
"
Обводный переулок;"обводный 
"
Волгоградская улица;"волгоградский 
"
улица Якуба Коласа; якуб колас
улица Вучетича; вучетич
Российская улица;"российский 
"
улица Моцарта; моцарт
Заводская улица;"заводской 
"
улица Гайдара; гайдар
Мелиоративная улица;"мелиоративный 
"
Армавирская улица;"армавирский 
"
улица Одоевского; одоевский
улица Джека Лондона; джек лондон
Волгодонская улица;"волгодонский 
"
Фонтанная улица;"фонтанный 
"
улица Чайковского; чайковский
улица Ниловского; ниловский
2-я Штурманская улица;"штурманский 
"
улица Композитора Танеева; композитор танеев
2-я Караванная улица;"караванный 
"
улица Логинова; логинова
улица имени Ф.Г. Логинова; ф.г. логинов
Первомайская улица;"первомайский 
"
Штурманская улица;"штурманский 
"
Зерноградская улица;"зерноградский 
"
Староладожская улица;"староладожский 
"
Караванная улица;"караванный 
"
Компасная улица;"компасный 
"
улица Королёва; королева
улица Ленина; ленин
Армейский переулок;"армейский 
"
улица Карла Маркса; карл маркс
улица 19-го Партсъезда; го партсъезд
улица им. Вучетича; вучетич
улица Голубева; голубева
Ленинградская улица;"ленинградский 
"
50 лет Октября;
Дальняя улица;"дальний 
"
Удыгейская улица;"удыгейский 
"
улица Довженко; довженко
улица Советской Армии; советский армия
улица Маршала Жукова; маршал жуков
улица Черняховского; черняховский
улица Толбухина; толбухин
улица Городовикова; городовиков
Хабаровская улица;"хабаровский 
"
улица Кирова; кирова
Лесозаводская улица;"лесозаводский 
"
улица Чойбалсана; чойбалсан
Бугурусланская улица;"бугурусланский 
"
улица Сологубова; сологубово
улица Куйбышева; куйбышев
улица Фрунзе; фрунзе
улица Вознюка; вознюк
улица Островского; островский
улица Гагарина; гагарина
улица Ватутина; ватутина
Кооперативная улица;"кооперативный 
"
улица Кольцова; кольцов
улица Командира Рудь; командир рудь
Школьная улица;"школьный 
"
улица Академика Королёва; академик королева
улица Булаткина; булаткин
Судостроительная улица;"судостроительный 
"
Ялтинская улица;"ялтинский 
"
Новоаннинская улица;"новоаннинский 
"
Латвийская улица;"латвийский 
"
улица Героев Малой Земли; герой малый земля
улица Сидорова; сидоров
Орденская улица;"орденский 
"
Железнодорожная улица;"железнодорожный 
"
Харабалинская улица;"харабалинский 
"
Сарпинская улица;"сарпинский 
"
Норильская улица;"норильский 
"
Нижнедонская улица;"нижнедонский 
"
Мытищинская улица;"мытищинский 
"
улица Победы; победа
Новый переулок;"новый 
"
Артнабережная улица;"артнабережная 
"
1-й переулок;
улица Доценко; доценко
Алийская улица;"алийский 
"
Электростальская улица;"электростальский 
"
Корпусная улица;"корпусной 
"
Морская улица;"морской 
"
Тушинская улица;"тушинский 
"
Центральная улица;"центральный 
"
посёлок Нагорный;
улица Токарева; токарев
улица Мечникова; мечников
Строительная улица;"строительный 
"
Минская улица;"минский 
"
Луговая улица;"луговой 
"
улица Фролова; фролова
улица Военный городок; военный городок
улица Огарёва; огарев
Грушевская улица;"грушевский 
"
Пугачёвская улица;"пугачевский 
"
Иркутская улица;"иркутский 
"
Краснослободская улица;"краснослободский 
"
Бобруйская улица;"бобруйский 
"
улица Лавочкина; лавочкин
улица Уткина; уткин
Туркменская улица;"туркменский 
"
Аджарская улица;"аджарский 
"
Ярославская улица;"ярославский 
"
Авиаторская улица;"авиаторский 
"
Жердевская улица;"жердевский 
"
улица Льва Толстого; лев толстой
Осетинская улица;"осетинский 
"
улица 25-летия Октября; летие октябрь
Горячеводская улица;"горячеводский 
"
улица Академика Богомольца; академик богомолец
Моторная улица;"моторный 
"
Бетонный проезд;
Новорядская улица;"новорядский 
"
Козловская улица;"козловский 
"
улица КИМ; ким
Кирсановская улица;"кирсановский 
"
улица Калинина; калинин
Дачная улица;"дачный 
"
Колёсная улица;"колесный 
"
Парниковая улица;"парниковый 
"
Апрельская улица;"апрельский 
"
улица посёлок Саши Чекалина; поселок саша чекалин
улица Шаблиевского; шаблиевский
Затонская улица;"затонский 
"
Лазоревый переулок;"лазоревый 
"
улица Аксакова; аксаков
Садовая улица;"садовый 
"
Школьный переулок;"школьный 
"
Кузнецкая улица;"кузнецкий 
"
Липецкая улица;"липецкий 
"
Елецкая улица;"елецкий 
"
Новоузенская улица;"новоузенский 
"
Череповецкая улица;"череповецкий 
"
Симбирская улица;"симбирский 
"
Социалистическая улица;"социалистический 
"
Шлюзовой переулок;"шлюзовый 
"
Ардатовская улица;"ардатовский 
"
Комитетская улица;"комитетский 
"
улица Героев Шипки; герой шипка
улица 33-х Героев; х герой
улица Клавы Панчишкиной; клава панчишкин
улица 33 Героев; герой
проезд Строителей;
улица Строителей; строитель
бульвар Профсоюзов;профсоюз
улица Нариманова; нариманов
Криворожская улица;"криворожский 
"
Логовская улица;"логовский 
"
Алексеевская улица;"алексеевский 
"
Тормосиновская улица;"тормосиновский 
"
Казахская улица;"казахский 
"
улица Клавы-Нечаевой; клавынечаева
Инженерная улица;"инженерный 
"
улица Бутлерова; бутлерова
Лесобазовская улица;"лесобазовский 
"
улица Сулеймана Стальского; сулейман стальский
улица Шота Руставели; шота руставели
улица Водников; водник
улица Черепановых; черепанов
улица Хиросимы; хиросима
улица Пархоменко; пархоменко
улица Ткачёва; ткачев
улица Рокоссовского; рокоссовский
Новороссийская улица;"новороссийский 
"
Днестровская улица;"днестровский 
"
Двинская улица;"двинский 
"
Бобровская улица;"бобровский 
"
Георгиевская улица;"георгиевский 
"
Озёрный переулок;"озерный 
"
Бутурлиновская улица;"бутурлиновский 
"
Навлинская улица;"навлинский 
"
Вельботная улица;"вельботный 
"
Люблинская улица;"люблинский 
"
улица Быстрова; быстров
Изоляторная улица;"изоляторный 
"
улица Автодорога 7;" автодорога 
"
улица им. Быстрова; быстров
улица Федотова; федотов
Турбинная улица;"турбинный 
"
проспект им. В.И. Ленина;в.и. ленин
улица Генерала Штеменко; генерал штеменко
улица Никитина; никитин
Финская улица;"финский 
"
Люберецкая улица;"люберецкий 
"
Закавказская улица;"закавказский 
"
Самарская улица;"самарский 
"
улица Зины Маресевой; зина маресева
Красногорская улица;"красногорский 
"
улица Михаила Балонина; михаил балонин
набережная 62-й Армии;
улица Козьмы Минина; козьма минина
улица Козака; козак
Подольская улица;"подольский 
"
Фруктовая улица;"фруктовый 
"
Санаторная улица;"санаторный 
"
улица Курчатова; курчатова
улица Губкина; губкина
улица им. Губкина; губкина
улица Ивана Фёдорова; иван федоров
Мелитопольская улица;"мелитопольский 
"
Щёлковская улица;"щелковский 
"
Михайловская улица;"михайловский 
"
улица Плеханова; плеханова
Нефтезаводская улица;"нефтезаводской 
"
Весёлый переулок;"веселый 
"
Зеленоградский переулок;"зеленоградский 
"
Волжский проспект;"волжский 
"
Автодорожный проезд;
Шпалозаводская улица;"шпалозаводский 
"
Полевая улица;"полевой 
"
Краснозвёздная улица;"краснозвездный 
"
улица Качинцев; качинец
улица Адмирала Макарова; адмирал макаров
Тросовая улица;"тросовый 
"
улица Капитана Рачкова; капитан рачковый
улица Саши Чекалина; саша чекалина
Пионерский посёлок;
Спортивная улица;"спортивный 
"
улица Волжской Военной Флотилии; волжский военный флотилия
улица Медведева; медведева
Таманская улица;"таманский 
"
Раздорская улица;"раздорский 
"
Большевистская улица;"большевистский 
"
Прибрежная улица;"прибрежный 
"
улица имени Ф. Г. Логинова; ф. г. логинов
переулок Марата;марат
Союзная улица;"союзный 
"
Лимоновая улица;"лимоновый 
"
Окружная улица;"окружный 
"
Лавровая улица;"лавровый 
"
Алычёвая улица;"алычевая 
"
Нежинская улица;"нежинский 
"
улица Елисеева; елисеева
Моздокская улица;"моздокский 
"
Ростовская улица;"ростовский 
"
Академическая улица;"академический 
"
Профсоюзная улица;"профсоюзный 
"
улица Саши Филиппова; саша филиппов
Клубная улица;"клубный 
"
Шауляйская улица;"шауляйский 
"
Юрьевская улица;"юрьевский 
"
улица Хорошева; хорошев
Благовещенская улица;"благовещенский 
"
Жирновская улица;"жирновский 
"
улица Политрука Тимофеева; политрук тимофеев
улица Калеганова; калеганова
улица Твардовского; твардовский
Семигорская улица;"семигорский 
"
улица Полины Осипенко; полина осипенко
автодорога 7;
улица Севастопольская (автодорога 5-я объездная);" севастопольский (автодорога  объездной)
"
Ученическая улица;"ученический 
"
улица Михаила Паникахи; михаил паникахи
улица Тургенева; тургенева
улица Воровского; воровской
улица Анри Барбюса; анри барбюс
Нильская улица;"нильский 
"
Бурейская улица;"бурейский 
"
улица Автодорога 6;" автодорога 
"
6-я автодорога;
улица Римского-Корсакова; римскогокорсаков
улица Маршала Рыбалко; маршал рыбалко
Клинская улица;"клинский 
"
Саранская улица;"саранский 
"
Кавказская улица;"кавказский 
"
улица Марины Расковой; марина раскова
Солнечная улица;"солнечный 
"
Песчаная улица;"песчаный 
"
улица 7-я Автодорога;  автодорога
1-й Индустриальный проезд;
Складской переулок;"складской 
"
2-й Индустриальный проезд;
Дорожная улица;"дорожный 
"
улица 6-я Автодорога;  автодорога
Ковровская улица;"ковровский 
"
улица Автодорога 9;" автодорога 
"
улица Романенко; романенко
улица Генерала Романенко; генерал романенко
улица Комиссара Щербины; комиссар щербина
Тихвинский переулок;"тихвинский 
"
Солнечный переулок;"солнечный 
"
улица Комиссара Маркина; комиссар маркина
улица Скосырева; скосырева
Ленинская улица;"ленинский 
"
Ковенская улица;"ковенский 
"
Радомская улица;"радомский 
"
Гродненская улица;"гродненский 
"
Чигиринская улица;"чигиринский 
"
улица Таращанцев; таращанец
улица Хользунова; хользунова
улица Генерала Глушко; генерал глушко
Балашовская улица;"балашовский 
"
улица Чебышева; чебышев
Шефская улица;"шефский 
"
Линейная улица;"линейный 
"
Запорожская улица;"запорожский 
"
Китайская улица;"китайский 
"
Новосибирская улица;"новосибирский 
"
переулок Балакирева;балакирев
Гидростроевская улица;"гидростроевский 
"
Инструментальная улица;"инструментальная 
"
Крепильная улица;"крепильный 
"
улица Валентины Терешковой; валентина терешкова
улица Слепцова; слепцов
улица Голубятникова; голубятников
улица 50-летия ВЛКСМ; летие влксм
Заволжская улица;"заволжский 
"
Портовая улица;"портовый 
"
1-й Базовый проезд;
2-й Базовый проезд;
Октябрьская улица;"октябрьский 
"
Деповская улица;"деповский 
"
Крымская улица;"крымский 
"
Бакинская улица;"бакинский 
"
улица Землянского; землянский
улица 7-й Гвардейской Дивизии;  гвардейский дивизия
Печатная улица;"печатный 
"
Коммунальная улица;"коммунальный 
"
улица Глазкова; глазкова
улица Дымченко; дымченко
Пражская улица;"пражский 
"
2-я Горная улица;"горный 
"
Шоссейная, 1;
улица Петра Гончарова; петр гончаров
Библиотечная улица;"библиотечный 
"
улица Репина; репин
улица им. Репина; репин
улица им. маршала Еременко; маршал еременко
улица 39-й Гвардейской; гвардейский
улица им. Алехина; алехин
улица Правды; правда
улица им. Петра Гончарова; петр гончаров
улица Бажова; бажова
Богунская улица;"богунский 
"
Инициативная улица;"инициативный 
"
улица Кузнецова; кузнецова
улица Ольги Форш; ольга форш
Восточная улица;"восточный 
"
Короткая улица;"короткий 
"
Варшавская улица;"варшавский 
"
1-я Кузнецкая улица;"кузнецкий 
"
Рабочая улица;"рабочий 
"
улица Энтузиастов; энтузиаст
Рябиновый переулок;"рябиновый 
"
Партизанская улица;"партизанский 
"
Сибирская улица;"сибирский 
"
Промышленная улица;"промышленный 
"
Мельничная улица;"мельничный 
"
улица Памяти; память
улица Еременко; еременко
Новоремесленная улица;"новоремесленный 
"
улица Менделеева; менделеев
Башкирская улица;"башкирский 
"
улица им. Пржевальского; пржевальский
улица Пржевальского; пржевальский
Хрустальная улица;"хрустальный 
"
улица Ломоносова; ломоносов
Крестьянская улица;"крестьянский 
"
Омская улица;"омский 
"
улица Академика Бардина; академик бардин
улица Гидростроителей; гидростроитель
улица Колумба; колумб
Демократический переулок;"демократический 
"
улица Северный Городок; северный городок
улица Героев Тулы; герой тула
Ясноморская улица;"ясноморский 
"
Ясная улица;"ясный 
"
Брусничная улица;"брусничный 
"
улица им. Хользунова; хользунова
улица им. генерала Штеменко; генерал штеменко
Северный переулок;"северный 
"
улица Германа Титова; герман титов
улица Клары Цеткин; клара цеткин
посёлок 40 Домиков;
Триумфальная улица;"триумфальный 
"
Ударная улица;"ударный 
"
Цимлянская улица;"цимлянский 
"
улица Олеко Дундича; олеко дундич
Овражная улица;"овражный 
"
Зелёная улица;"зеленый 
"
Приканальная улица;"приканальный 
"
улица им. капитана Тряскина; капитан тряскин
улица Капитана Тряскина; капитан тряскин
Прибалтийская улица;"прибалтийский 
"
улица им. Рихарда Зорге; рихард зорге
улица Асланова; асланова
улица Кастерина; кастерин
улица Качалова; качалова
улица Поддубного; поддубный
улица 4-х Связистов; х связист
Восточная (Краснооктябрьский р-н) улица;"восточный (краснооктябрьский рн) 
"
улица им. Асланова; асланова
улица им. Менделеева; менделеев
Верхоянская улица;"верхоянский 
"
Созидательская улица;"созидательский 
"
улица Мясникова; мясников
улица им. Качалова; качалова
улица Менжинского; менжинский
улица им. Германа Титова; герман титов
Депутатская улица;"депутатский 
"
Мирный посёлок;
посёлок Мирный;
улица Кропоткина; кропоткин
улица Академика Павлова; академик павлова
набережная Волжской Флотилии;
Грамши;
улица Ястребова; ястребов
пос. 4-й участок;
Курильская улица;"курильский 
"
улица Генерала Ватутина; генерал ватутин
Тарифная улица;"тарифный 
"
улица Пельше; пельша
Софийская улица;"софийский 
"
Геленджикская улица;"геленджикский 
"
улица Лодыгина; лодыгин
улица Тракторостроителей; тракторостроитель
улица Адмирала Ушакова; адмирал ушаков
улица Позднышева; позднышева
Днепрогэсовская улица;"днепрогэсовский 
"
Сланцевая улица;"сланцевый 
"
улица Подполковника Болвинова; подполковник болвинов
улица Бетховена; бетховен
Малая улица;"малый 
"
улица Здоровцева; здоровцева
Заозёрная улица;"заозерный 
"
Колчеданная улица;"колчеданный 
"
улица Карпова; карпова
Апатитовая улица;"апатитовый 
"
Кварцевая улица;"кварцевый 
"
улица Титова; титов
Автомагистральная улица;"автомагистральный 
"
улица 62-й Армии; армия
Донская улица;"донской 
"
Зеленодольская улица;"зеленодольский 
"
улица Низами; низ
Студёная улица;"студеный 
"
Южно-Сибирская улица;"южносибирский 
"
посёлок 5-й участок;
Никопольская улица;"никопольская 
"
улица Дегтярёва; дегтярев
улица Жолудева; жолудев
Эльбрусская улица;"эльбрусский 
"
Батумская улица;"батумский 
"
Витимская улица;"витимский 
"
Эльтонская улица;"эльтонский 
"
Новодвинская улица;"новодвинский 
"
Рионская улица;"рионский 
"
Невская улица;"невский 
"
улица Чапаева; чапаева
улица Маршала Чуйкова; маршал чуйков
улица Гоголя; гоголь
Пролеткультская улица;"пролеткультский 
"
Сиреневая улица;"сиреневый 
"
Латошинская улица;"латошинский 
"
Клубничная улица;"клубничный 
"
Тополиная улица;"тополиный 
"
Прохладная улица;"прохладный 
"
Короткий переулок;"короткий 
"
Радужная улица;"радужный 
"
Краснознаменская улица;"краснознаменский 
"
улица 10-й Дивизии НКВД; дивизия нквд
улица Канунникова; канунников
улица Ким; ким
улица Чуйкова; чуйков
улица Шестакова; шестаков
Голубинская улица;"голубинская 
"
Донецкая улица;"донецкий 
"
Кубанская улица;"кубанский 
"
Свирская улица;"свирская 
"
Батальонная улица;"батальонный 
"
улица Генерала Гуртьева; генерал гуртьев
Аэропортовский переулок;"аэропортовский 
"
Загорская улица;"загорская 
"
Мукачевская улица;"мукачевский 
"
улица Салтыкова-Щедрина; салтыковащедрин
Ополченская улица;"ополченский 
"
Обливская улица;"обливский 
"
улица Атласова; атласова
улица Рыкачева; рыкачева
улица Луговского; луговской
переулок Ногина;ногина
Очаковская улица;"очаковский 
"
Льговская улица;"льговский 
"
улица Могилевича; могилевич
улица Баумана; бауман
улица Домостроителей; домостроитель
Шоссейная улица;"шоссейный 
"
улица Шурухина; шурухина
улица 95-й Гвардейской Дивизии; гвардейский дивизия
улица Гроссмана; гроссман
улица Борьбы; борьба
Магистральная улица;"магистральный 
"
улица Батова; батова
улица Демьяна Бедного; демьян бедный
улица Быкова; быков
улица Клименко; клименко
улица Гули Королёвой; гулить королева
улица Патриса Лумумбы; патрис лумумба
улица Аллея Героев; аллея герой
Гражданская площадь;
проспект Дружбы;дружба
улица Мещерякова; мещеряков
Химическая улица;"химический 
"
улица Наумова; наумов
улица Неждановой; нежданова
Ополченская улица 28А;ополченский  а
улица им. Кузнецова; кузнецова
Межевая улица;"межевой 
"
Мариупольская улица;"мариупольский 
"
улица Гвоздкова; гвоздкова
улица 35-й Гвардейской дивизии;  гвардейский дивизия
Стахановская улица;"стахановский 
"
Посёлок Кирпичного завода №8;
улица Тимирязева; тимирязева
улица Сухова; сухов
посёлок Стройдеталь;
Автотранспортная улица;"автотранспортный 
"
посёлок Кирпичного завода №2;
Песчанокопская улица;"песчанокопский 
"
улица Качуевской; качуевский
улица Мамина-Сибиряка; маминасибиряк
улица Новикова-Прибоя; новиковаприбой
улица Савиловой; савилова
улица Академика Комарова; академик комаров
Урюпинская улица;"урюпинский 
"
Панфиловская улица;"панфиловский 
"
улица Богданова; богданова
А-153;
улица Чернышевского; чернышевский
Даугавская улица;"даугавский 
"
улица Полухина; полухина
Славская улица;"славский 
"
улица Аренского; аренский
Слесарная улица;"слесарная 
"
улица 35-й Гвардейской;  гвардейский
Краснопресненская улица;"краснопресненский 
"
улица Ухтомского; ухтомский
Петроградская улица;"петроградский 
"
Калининградская улица;"калининградский 
"
Удмуртский переулок;"удмуртский 
"
Белгородская улица;"белгородский 
"
Антрацитная улица;"антрацитный 
"
Ахтубинская улица;"ахтубинский 
"
Верхнеахтубинская улица;"верхнеахтубинский 
"
Майкопская улица;"майкопский 
"
1-я Консервная улица;"консервный 
"
Одесская улица;"одесский 
"
Ельшанская улица;"ельшанский 
"
Корейская улица;"корейский 
"
Монгольская улица;"монгольский 
"
Полярная улица;"полярный 
"
Революционная улица;"революционный 
"
Абхазская улица;"абхазский 
"
Краснорядская улица;"краснорядский 
"
Интернациональная улица;"интернациональный 
"
улица Андреева; андреев
95-Гвардейской дивизии;
Шадринская улица;"шадринский 
"
947+013 км трасса Р22 «Каспий» (с правой стороны по направлению в г. Волгоград);
Совхозная улица;"совхозный 
"
Чакинский переулок;"чакинский 
"
улица Леваневского; леваневский
Семипалатинский переулок;"семипалатинский 
"
Ленинаканская улица;"ленинаканский 
"
улица им. Костюшко; костюшко
Перископская улица;"перископский 
"
3-я Продольная улица;"продольный 
"
4-я Продольная улица;" продольный 
"
2-я Продольная улица;"продольный 
"
1-я Продольная улица;"продольный 
"
улица 2-я Очередь; очередь
посёлок Аэропорт;
Овражный переулок;"овражный 
"
ПМК-40;
улица 1050-й километр; километр
улица Ворошилова; ворошилов
Орехово-Зуевская улица;"ореховозуевский 
"
Фабричный переулок;"фабричный 
"
улица Академика Зелинского; академик зелинский
Брасовская улица;"брасовский 
"
улица Шкирятова; шкирятов
улица Ивана Франко; иван франко
улица Костюченко; костюченко
Берёзовая улица;"березовый 
"
улица Дундича; дундич
улица Матросова; матросов
улица Максима Горького; максим горький
Лесная улица;"лесной 
"
улица Байдакова; байдаков
Лесной переулок;"лесна 
"
улица Шопена; шопен
Краснополянская улица;"краснополянский 
"
Республиканская улица;"республиканский 
"
Колпинская улица;"колпинский 
"
улица 51-й Гвардейской; гвардейский
улица Маршала Толбухина; маршал толбухин
улица Смирнова; смирнов
Ярославский переулок;"ярославский 
"
улица Павлова; павлова
улица Молодогвардейцев; молодогвардеец
улица Орджоникидзе; орджоникидзе
Волжская улица;"волжский 
"
улица Вильгельма Пика; вильгельм пик
улица Казначеева; казначеев
Степная улица;"степной 
"
Саратовская улица;"саратовский 
"
Амурский переулок;"амурский 
"
улица 20-го Партсъезда; го партсъезд
улица Полоненко; полоненко
Краснодарский переулок;"краснодарский 
"
улица Пивнева; пивнев
Заплавинская улица;"заплавинский 
"
Тополевая улица;"тополевый 
"
улица Стрельникова; стрельников
Журавлинская улица;"журавлинский 
"
улица Сёмушкина; семушкин
улица Леонова; леонова
Южная улица;"южный 
"
Южный переулок;"южный 
"
Родниковая улица;"родниковый 
"
Оранжерейная улица;"оранжерейный 
"
улица Шумилова; шумилов
улица Генерала Шумилова; генерал шумилов
Тупиковая улица;"тупиковый 
"
Второй переулок;"второй 
"
улица Мухина; мухин
Красноармейская улица;"красноармейский 
"
Заречная улица;"заречный 
"
Первый переулок;"первый 
"
улица 8 Марта;  март
Парковая улица;"парковый 
"
Воркутинская улица;"воркутинский 
"
улица Степана Разина; степан разина
улица 13-й Гвардейской Дивизии; гвардейский дивизия
Лемешкинская улица;"лемешкинский 
"
улица Царицынской Обороны; царицынский оборона
Серпуховская улица;"серпуховский 
"
улица Порт-Саида; портсаид
улица Соколова; соколова
улица Желябова; желябов
трасса Краснослободск-Средняя Ахтуба;
Орловская улица;"орловский 
"
улица Володарского; володарский
площадь Павших Борцов;
улица Рыбалко; рыбалко
Верхнебалканская улица;"верхнебалканский 
"
Глубокоовражная улица;"глубокоовражный 
"
Производственная улица;"производственный 
"
Петровская улица;"петровский 
"
Шекснинская улица;"шекснинский 
"
улица Жукова; жукова
улица Мусоргского; мусоргский
Качинцев;
Трёхгорная улица;"трехгорный 
"
улица Качинчев; качинчев
улица Карла Либкнехта; карла либкнехт
Ингульская улица;"ингульский 
"
Памирский проезд;
Аракская улица;"аракский 
"
Безымянная улица;"безымянный 
"
улица Танкистов; танкист
улица Нестерова; нестерова
Балахнинская улица;"балахнинский 
"
улица им. Вершинина; вершинина
улица Сургучёвка; сургучевка
Чистоозёрная улица;"чистоозерный 
"
улица Горишного; горишный
Газовая улица;"газовый 
"
Вогульская улица;"вогульский 
"
Энергетическая улица;"энергетический 
"
8-я Песчаная улица;" песчаный 
"
посёлок Металлургов;
Восточно-Казахстанская улица;"восточноказахстанский 
"
улица Гейне; гейне
Ессентукская улица;"ессентукская 
"
улица Панкратовой; панкратова
улица Гнесиных; гнесина
Шебелинская улица;"шебелинская 
"
Полесская улица;"полесский 
"
Егорьевская улица;"егорьевский 
"
Кутузовская улица;"кутузовский 
"
Кунцевская улица;"кунцевский 
"
улица Савкина; савкин
Козловский переулок;"козловский 
"
Безымянный переулок;"безымянный 
"
18-я Песчаная улица;" песчаный 
"
Мирный проезд;
Трансформаторная улица;"трансформаторный 
"
Киевская улица;"киевский 
"
Тверская улица;"тверская 
"
Пермская улица;"пермский 
"
Тихорецкая улица;"тихорецкий 
"
Новостроевский переулок;"новостроевский 
"
Тракторозаводская улица;"тракторозаводский 
"
Тупиковый переулок;"тупиковый 
"
Рязанская улица;"рязанский 
"
Ананасовая улица;"ананасовый 
"
Прокатная улица;"прокатный 
"
Новгородская улица;"новгородский 
"
Ботаническая улица;"ботанический 
"
Чапурниковская балка;
Симферопольская улица;"симферопольский 
"
Вычегодская улица;"вычегодский 
"
улица Пестеля; пестель
улица Кочеткова; кочеткова
Речная улица;"речной 
"
Вишнёвая улица;"вишневый 
"
Яблоневая улица;"яблоневый 
"
25-я улица;" 
"
Куринская улица;"куринский 
"
Раздольная улица;"раздольный 
"
Продольная улица;"продольный 
"
Полоцкая улица;"полоцкий 
"
улица Киквидзе; киквидзе
Сульская улица;"сульский 
"
Миусская улица;"миусский 
"
улица Сакко и Ванцетти; сакко и ванцетти
Бугская улица;"бугский 
"
Аннинская улица;"аннинский 
"
Узбекская улица;"узбекский 
"
Новосельская улица;"новосельская 
"
Хуторская улица;"хуторской 
"
Царицынская улица;"царицынский 
"
Лекарская улица;"лекарский 
"
Сосновская улица;"сосновский 
"
Иловлинская улица;"иловлинский 
"
Донбасская улица;"донбасский 
"
Задонская улица;"задонский 
"
Кобринская улица;"кобринский 
"
Большая улица;"больший 
"
Севская улица;"севский 
"
Знаменская улица;"знаменский 
"
Костровая улица;"костровый 
"
Календарная улица;"календарный 
"
улица Пехотинцев; пехотинец
3-я Южная улица;"южный 
"
3-я Северная улица;"северный 
"
1-я Северная улица;"северный 
"
1-я Южная улица;"южный 
"
2-я Южная улица;"южный 
"
4-я Северная улица;" северный 
"
2-я Северная улица;"северный 
"
4-я Южная улица;" южный 
"
7-я Северная улица;" северный 
"
6-я Южная улица;" южный 
"
5-я Южная улица;" южный 
"
9-я Северная улица;"северный 
"
6-я Северная улица;" северный 
"
Нововокзальная улица;"нововокзальный 
"
улица Ракетчиков; ракетчик
Вьюжная улица;"вьюжный 
"
улица Лётчиков; летчик
Нововокзальный переулок;"нововокзальный 
"
Троицкая улица;"троицкая 
"
улица Софьи Ковалевской; софья ковалевская
улица Яблочкина; яблочкин
улица Попова; попов
улица Халтурина; халтурин
